blr_id,blr_name,blr_category_name,blr_coverage
APPFEE000KAR01,"Amrutha Bharathi Vidya Kendra, Hagadur",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR02,"ASSISI,Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR03,"Bengaluru Public School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR04,"BGS World School, Mahalakshmipuram",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR05,"Christ Global Residential School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR06,"Christ School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR07,"Christ School ,Kengeri",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR08,"Good Samaritan Public School, Bangalore.",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR09,"James English School, Avalahalli, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR10,"JSS Public School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR11,"Ksvk International School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR12,"Ksvk Whitefield School, Bangalore.",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR13,"Lake View Public School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR14,"M M English High School ,Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR15,"New Baldwin School, Bangalore.",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR16,"New Macaulay English High School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR17,Preethi Dham English Medium High School Bangalore.,Education Fees,IND-KAR-Bengaluru
APPFEE000KAR18,Shams School Bangalore,Education Fees,IND-KAR-Bengaluru
APPFEE000KAR19,"Shanthidhama Public School, Benguluru",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR20,"Sisa Educational Centre, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR21,"Sree Saraswathi Vidyalaya, Hennur Bande, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR22,"St Francis School Icse Koramangala, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR23,"St Norbert School Koppa, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR24,St Theresa Bacq Public School,Education Fees,IND-KAR-Bengaluru
APPFEE000KAR25,"St. Anne'S High School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR26,"St. Josephs Convent School, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR27,"St. Marys School ,Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR28,"Swargarani Public School Rajarajeshwarinagar, Bangalore",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR29,"Vikas Central School, Bengaluru",Education Fees,IND-KAR-Bengaluru
APPFEE000KAR30,"VVR Public School, Doddankannahalli",Education Fees,IND-KAR-Bengaluru
APPFEE000KER01,"A.M.U.P.S., Melmuri South, Malappuram",Education Fees,IND-KER-Malappuram
APPFEE000KER02,"AES Public School, Erumapetty",Education Fees,IND-KER-Thrissur
APPFEE000KER03,"AKM Higher Secondary School, Kottakkal",Education Fees,IND-KER-Malappuram
APPFEE000KER04,"Akm Public School,Morkulangara",Education Fees,IND-KER-Alappuzha
APPFEE000KER05,"Al Amal Public School, Nellikuzhi",Education Fees,IND-KER-Ernakulam
APPFEE000KER06,"Al Aqsa Public School, Kathikode",Education Fees,IND-KER-Thrissur
APPFEE000KER07,Al Badar Central School Malappuram,Education Fees,IND-KER-Malappuram
APPFEE000KER08,"Al Falah English School Peruvallur, Malappuram",Education Fees,IND-KER-Malappuram
